DEPOSITOR,DEPOSIT_ID,DEPOSIT_STATE,DOI,DEPOSIT_CREATION_TIMESTAMP,DEPOSIT_UPDATE_TIMESTAMP,DESCRIPTION
mendeleydata,0168583c-0f4a-4691-a136-371f147aa14d,ARCHIVED,10.17632/rjdh98b7rw.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74871
mendeleydata,020acc62-0b24-446c-8860-de0132d343bd,ARCHIVED,10.17632/ssw6hwthcc.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74867
mendeleydata,021c06eb-8bbb-44f4-a2ad-f9f63ab8f0b2,ARCHIVED,10.17632/5ztg4y2cwx.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74870
mendeleydata,0287b4bf-8f86-45dc-b61d-19d86ed66d30,ARCHIVED,10.17632/22gjkdphzb.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74927
mendeleydata,047288f9-8d7a-4171-bdc3-414100d103a0,ARCHIVED,10.17632/8ttd68825b.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:75004
mendeleydata,081cf057-d619-4b8e-aede-b1b10b001a77,ARCHIVED,10.17632/5mfvrjrz94.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74962
mendeleydata,0a58c0db-796c-4440-bfeb-ba9bdb61dcbc,ARCHIVED,10.17632/77fmkyb773.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74881
mendeleydata,0de9f126-e36e-424d-a012-326097e042b1,ARCHIVED,10.17632/7zjzvr5gnv.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74988
mendeleydata,0ea7d455-f9cc-4758-a5ff-bb8e9d3ab7f4,ARCHIVED,10.17632/8dsvswkzft.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74873
mendeleydata,1280cca0-09f5-4c9e-b1f7-e69fba2c8aaa,ARCHIVED,10.17632/5y2hgyz5ng.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74911
mendeleydata,1575b18f-bea5-4a2c-84b8-e7823345ba84,ARCHIVED,10.17632/7fpxmtzzxp.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74978
mendeleydata,1828b1e7-5ac1-4b58-a4a3-ca10850273b0,ARCHIVED,10.17632/2dsbkn6xcj.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74958
mendeleydata,183c61e2-0147-478f-8d44-44bb4ead7567,ARCHIVED,10.17632/zmjvt32gj3.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74931
mendeleydata,187fc8f3-cd81-43df-911f-937297dd83ea,REJECTED,,unknown,10/24/2017 16:31:15,Rejected /var/opt/dans.knaw.nl/tmp/easy-ingest-flow-inbox/187fc8f3-cd81-43df-911f-937297dd83ea: Deposit is update of existing dataset
mendeleydata,19b53a88-81c8-417c-84f3-199fe5dc2b73,ARCHIVED,10.17632/c7y3hcrj7z.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74912
mendeleydata,1bea8dce-9d5b-4209-b585-42fb3a45451f,ARCHIVED,10.17632/jb72k856zw.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74957
mendeleydata,1d759932-c87d-45d0-b69d-bc1df891b378,ARCHIVED,10.17632/s43m4t6t6b.4,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74891
mendeleydata,1ea4a9ee-25be-4201-a28b-0b5f9f8128ff,ARCHIVED,10.17632/fyjgc2n3yg.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74888
mendeleydata,2808948c-6b27-4fdd-ae54-32d8a5e321df,ARCHIVED,10.17632/txnxsz6zh7.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74953
mendeleydata,285aa359-29f0-4796-b7df-80b4884e46c7,ARCHIVED,10.17632/dk4c8mgph9.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74866
mendeleydata,2c9ebfe3-58a6-4b41-9886-4c45e4f2976f,ARCHIVED,10.17632/r7t3jt9sxk.3,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74909
mendeleydata,2f332bf4-a3b7-4572-baa5-49fbc7616b39,ARCHIVED,10.17632/6yh2b327gd.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74907
mendeleydata,30f00696-01df-4922-8323-217be049e9ac,ARCHIVED,10.17632/fwc2t4539y.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74868
mendeleydata,31053bb0-062f-4e9b-a8e4-b0ee425dbef1,ARCHIVED,10.17632/6yh2b327gd.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74910
mendeleydata,32073733-29ab-4936-a011-e8d0742c6faf,ARCHIVED,10.17632/wmtzc7w3d7.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74848
mendeleydata,3585ecc4-206c-450b-810a-bc709fb24517,REJECTED,,unknown,10/24/2017 16:31:31,Rejected /var/opt/dans.knaw.nl/tmp/easy-ingest-flow-inbox/3585ecc4-206c-450b-810a-bc709fb24517: Deposit is update of existing dataset
mendeleydata,3758959e-b7c7-4b22-a9af-2b75f18f9922,ARCHIVED,10.17632/b2692kyk2k.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74865
mendeleydata,389bbb5b-c776-4967-922f-cf72eaa6a023,ARCHIVED,10.17632/wxkzw44bd3.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74923
mendeleydata,3981b155-e684-4683-85bb-0780e8be4b44,ARCHIVED,10.17632/mh3cyxs6x2.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74878
mendeleydata,3bbf2085-97f4-4530-acbc-17b9fe0165a7,ARCHIVED,10.17632/rvz2vpm737.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74942
mendeleydata,3fa70a26-1d03-421c-8b7b-1f12602db8b9,ARCHIVED,10.17632/vnwtp4433k.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74899
mendeleydata,4241d264-e77c-4b50-ab72-91de2c63136f,ARCHIVED,10.17632/x3tsv9hjx3.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74926
mendeleydata,44c22389-e2b8-4625-beef-41571a36f513,ARCHIVED,10.17632/htvhkdt7rw.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74917
mendeleydata,47580272-4572-4bb5-88e6-e643792c4674,ARCHIVED,10.17632/fyjgc2n3yg.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74885
mendeleydata,49a8a6f5-a226-4568-b22e-1aa85cb3cce7,ARCHIVED,10.17632/3p665rfvxy.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74874
mendeleydata,4c1b1b97-9501-47b3-8804-dc308cdaec49,ARCHIVED,10.17632/tdzkmm5gw3.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74842
mendeleydata,4cb007da-64dc-4cb9-af18-7fb7a0a9238b,ARCHIVED,10.17632/mh3cyxs6x2.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74879
mendeleydata,50afb6e6-ff48-47e8-b484-7d5d3ec31853,REJECTED,,unknown,10/24/2017 16:31:15,Rejected /var/opt/dans.knaw.nl/tmp/easy-ingest-flow-inbox/50afb6e6-ff48-47e8-b484-7d5d3ec31853: Deposit is update of existing dataset
mendeleydata,518656f3-a479-4b22-aef3-f1860e3eee25,REJECTED,,unknown,10/24/2017 16:31:13,Rejected /var/opt/dans.knaw.nl/tmp/easy-ingest-flow-inbox/518656f3-a479-4b22-aef3-f1860e3eee25: Deposit is update of existing dataset
mendeleydata,53080752-5745-44e0-b5a1-122fac15b6ac,ARCHIVED,10.17632/p7k35cghyb.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74850
mendeleydata,56f5c6f0-b83b-4f63-89ba-1eefaa18e0e9,ARCHIVED,10.17632/cf23r9rdmt.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74925
mendeleydata,5d028daf-1762-463c-b9f8-fbfa88233fa5,ARCHIVED,10.17632/sbbb82fg65.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74960
mendeleydata,5f4d684c-65e1-4872-a741-e0a2de9ac2ac,ARCHIVED,10.17632/zf7jfbjsdh.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74849
mendeleydata,629c06c0-4388-4854-b22c-4af2f9e19c45,ARCHIVED,10.17632/zp45br69jp.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:75008
mendeleydata,6315c1bb-bbea-4ed7-b4ca-12a04363fef4,ARCHIVED,10.17632/3bbcykwgmv.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:75009
mendeleydata,65bd08f5-05c5-45a9-ab5d-c9a0641e4aad,ARCHIVED,10.17632/hr3ptw2v33.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74893
mendeleydata,66272bb0-a405-41da-9715-7d4f76e6347d,ARCHIVED,10.17632/fxsm438vzj.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74980
mendeleydata,663df6e8-03c1-4135-a887-e297d4506eed,ARCHIVED,10.17632/y3wv3gf28n.2,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74908
mendeleydata,66692f59-bcbe-4ac9-af86-1a4ed3afbef7,ARCHIVED,10.17632/x5563zzr4g.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74986
mendeleydata,671baa60-64a5-4e20-9212-d16b1c8905f5,ARCHIVED,10.17632/4yvcmck438.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74992
mendeleydata,6839c8c8-ee2e-42bd-9f73-d03d97bbf0b3,ARCHIVED,10.17632/8ymmpmfvj9.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74989
mendeleydata,692f1867-4d0e-4727-b7fb-40c545c7e036,ARCHIVED,10.17632/wmtzc7w3d7.2,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74852
mendeleydata,6b7d8cad-14ef-4f51-9a3f-d0c8cc702f55,ARCHIVED,10.17632/dv6nwfdzkv.4,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74847
mendeleydata,6b83ff12-de83-4a41-a025-acfc668efec6,ARCHIVED,10.17632/ts475hm8jw.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74956
mendeleydata,6c55a0e7-95d0-497f-adc8-f5da867b86d0,ARCHIVED,10.17632/j7ms5hfdyj.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74985
mendeleydata,6ce31442-6fe5-46ee-b7c4-11e10ac94c96,ARCHIVED,10.17632/s43m4t6t6b.3,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74914
mendeleydata,6cf21b0c-d4e7-4780-89d9-e1f4bdcf798e,ARCHIVED,10.17632/zfpk722jss.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74983
mendeleydata,6e431e10-7dc5-4bdc-9a5a-b8856a145b48,ARCHIVED,10.17632/dt48p975m6.1,unknown,10/24/2017 16:31:31,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74964
mendeleydata,6ecf1f85-8f5e-4c70-8f05-eff652df0f97,ARCHIVED,10.17632/65sx747rvm.1,unknown,10/24/2017 16:31:12,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74977
mendeleydata,73422db4-4ca4-45b6-9787-1417f4a0f21c,ARCHIVED,10.17632/yzmsgx39y8.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74949
mendeleydata,74ec290e-bab9-4c91-a8a4-d09b15bfd7de,ARCHIVED,10.17632/8vg9xdk7r8.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:75007
mendeleydata,776147a0-e355-48ce-80b0-d8c136f1a0be,ARCHIVED,10.17632/fbgc85km6j.5,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74921
mendeleydata,77b8e4eb-abd0-4d09-8685-d426e8da8b1c,ARCHIVED,10.17632/fbgc85km6j.4,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74844
mendeleydata,7bac2d38-7e58-4cac-b089-f65fd2f8f86a,ARCHIVED,10.17632/rp8s5rd98p.1,unknown,10/24/2017 16:31:15,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74965
mendeleydata,7d70e521-9418-4b50-89bc-786bebcf0f95,ARCHIVED,10.17632/djxfhhxnx3.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74845
mendeleydata,7ea57e6a-1eeb-4617-9139-49580bfe65c1,ARCHIVED,10.17632/6jhzz5fzv4.1,unknown,10/24/2017 16:31:13,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:74966
